date,open,high,low,close,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
2021-12-07,1782.6,1786.1,1772.3,1779.5,308,1779.7857,1808.7533,1788.5233,-0.0393,0.5155,0.7882,21.6959,-7.654,-0.5872,1888.8748,1745.0452
2021-12-08,1783.4,1789.9,1779.0,1789.9,1383,1779.5286,1808.1233,1788.2733,0.5844,0.5762,0.781,22.5245,-7.2607,-1.9219,1887.9134,1742.3866
2021-12-09,1774.6,1783.5,1771.8,1783.5,455,1779.4714,1807.8567,1787.9533,-0.3576,0.5674,0.7641,21.7359,-7.3802,-3.0135,1886.945,1739.125
2021-12-10,1782.9,1785.4,1769.1,1773.8,545,1779.3286,1807.1333,1787.5589,-0.5439,0.5726,0.7687,21.7518,-8.1636,-4.0435,1882.2944,1735.7656
2021-12-13,1786.3,1787.1,1783.8,1784.4,206,1779.8286,1806.8433,1787.2656,0.5976,0.6056,0.7771,29.2753,-7.8387,-4.8026,1874.9932,1735.4268
2021-12-14,1770.4,1787.0,1769.0,1787.0,322,1782.6143,1806.8267,1787.1233,0.1457,0.4978,0.7756,45.5026,-7.2875,-5.2996,1865.6485,1737.0215
2021-12-15,1762.6,1778.7,1753.9,1767.4,283,1780.7857,1806.0567,1787.2778,-1.0968,0.6159,0.8002,38.5304,-8.3361,-5.9069,1858.0608,1735.9892
2021-12-16,1796.6,1798.1,1781.0,1781.0,21,1781.0,1806.49,1787.86,0.7695,0.6997,0.7792,45.9043,-7.9777,-6.321,1845.8984,1739.9916
2021-12-17,1803.8,1812.9,1803.8,1804.0,654,1783.0143,1807.4033,1788.7122,1.2914,0.8339,0.8089,54.221,-5.7713,-6.2111,1832.7628,1747.4272
2021-12-20,1793.7,1799.8,1792.0,1796.8,226,1784.9143,1807.4667,1789.2356,-0.3991,0.8379,0.7913,54.4452,-4.5512,-5.8791,1819.1994,1755.5506
2021-12-21,1787.9,1796.5,1787.9,1791.4,575,1787.4286,1806.6133,1789.6033,-0.3005,0.8109,0.7583,55.8699,-3.9742,-5.4981,1804.1174,1765.6126
2021-12-22,1801.6,1805.2,1785.5,1786.0,567,1787.6572,1805.2767,1789.7044,-0.3014,0.7982,0.7525,51.8124,-3.9076,-5.18,1802.9955,1765.7845
2021-12-23,1811.2,1811.2,1800.8,1806.0,193,1790.3714,1804.6167,1789.9078,1.1198,0.9028,0.7833,63.0686,-2.2154,-4.5871,1805.7062,1764.3738
2021-12-27,1808.1,1812.1,1807.0,1810.0,150,1796.4572,1803.1533,1790.1544,0.2215,0.7164,0.7271,60.7504,-0.5453,-3.7787,1809.3679,1762.6021
